state,county,city,address1,address2,date
Kansas,Cherokee,Scammon,"2037 Northwest Chickadee Lane",,01/26/2010
Kansas,Shawnee,"Silver Lake","2320 Northwest Docking Road",,02/03/2010
Kansas,Gray,Copeland,"205  Scott Street",,02/05/2010
Kansas,Sheridan,Hoxie,"1532  Queen Street",,02/11/2010
Kansas,Neosho,Erie,"110  Trego",,02/17/2010
Kansas,Cheyenne,"Saint Francis","408 South College",,02/23/2010
Kansas,Saline,Salina,"2100  Markley Road",,03/03/2010
Kansas,Crawford,Pittsburg,"1119 South Broadway Street",,03/05/2010
Kansas,Neosho,Chanute,"190 North Greenwood",,03/05/2010
Kansas,Neosho,Chanute,"620 West Main Street",,03/10/2010
Kansas,Cherokee,Weir,"5285 Northeast Highway 103",,03/11/2010
Kansas,Neosho,Walnut,"170 Southwest York",,03/16/2010
Kansas,Neosho,Chanute,".5 South Irving Street",,03/23/2010
Kansas,Neosho,Mccune,"24980  10th Street",,03/26/2010
Kansas,Neosho,Galesburg,"60th South Irving Street",,03/31/2010
Kansas,Sumner,Wellington,"1415  Michigan Street",,04/12/2010
Kansas,Labette,Parsons,"1115 North Central Avenue",,04/12/2010
Kansas,Douglas,Eudora,"909  Oak Street",,04/21/2010
Kansas,Cherokee,Galena,"595  Schermerhorn Road",,04/23/2010
Kansas,Crawford,Mulberry,"989 East 640th Avenue",,04/24/2010
Kansas,Montgomery,Coffeyville,"3736  County Road 1675  A",,04/25/2010
Kansas,Neosho,"Saint Paul","809 North Main Street",,05/06/2010
Kansas,Labette,Chetopa,"309 North 3rd Street",,05/12/2010
Kansas,Cherokee,Galena,"2725 South Wood Street",,05/17/2010
Kansas,Barton,"Great Bend","8801  6th Street",,05/19/2010
Kansas,Montgomery,Cherryvale,"889 South Liberty Street",,05/21/2010
Kansas,Neosho,Mccune,"24980  10th Road",,05/25/2010
Kansas,Labette,Parsons,"1716  Kennedy Avenue",,05/27/2010
Kansas,Labette,Parsons,"3005  Broadway Avenue",,06/01/2010
Kansas,Reno,Partridge,"5307 South Riverton Road",,06/10/2010
Kansas,Neosho,Erie,"318 North Webster Street",,06/17/2010
Kansas,Labette,Parsons,"1300 North 26th Street",,06/26/2010
Kansas,Crawford,Pittsburg,"943 South 190th Street",,07/27/2010
Kansas,Crawford,Pittsburg,"111 East 22nd Street",,07/30/2010
Kansas,Cherokee,Columbus,"606 South Washington Street",,08/03/2010
Kansas,Crawford,Pittsburg,"415 South Broadway Street 21",,12/17/2010
Kansas,Pawnee,Larned,"1728  110th Avenue",,12/21/2010
Kansas,Crawford,Pittsburg,"503 South 200th Street",,12/22/2010
Kansas,Labette,Parsons,"1626  Gabriel Avenue",,12/23/2010
Kansas,Montgomery,Coffeyville,"206 West 2nd Street",,01/18/2011
Kansas,Montgomery,Coffeyville,"1413  1st",,02/15/2011
Kansas,Labette,Oswego,"301  2nd Street",,04/01/2011
Kansas,Lyon,Emporia,"637  Woodland",,05/04/2011
Kansas,Crawford,Pittsburg,"1603 North Smelter",,07/11/2011
Kansas,Cherokee,Scammon,"201 North Main",,07/25/2011
Kansas,Montgomery,Tyro,"303  First Street",,07/28/2011
Kansas,Cowley,"Arkansas City","1116 North 1st Street",,08/11/2011
Kansas,Montgomery,Independence,"1039 North 13th Street",,08/11/2011
